action,nest,frame_number,track_id,ml_confidence,timestamp,site,video_date,video_time,video_datetime,video_hour,video_name,source_file,seconds_in_video,event_datetime
Exit,35,17641,6,0.8406570132122184,2024-04-23 10:19:49.033333,natalies,2024-04-23,10:10:01,2024-04-23 10:10:01,10,natalies_2024-04-23_10_10_01,natalies_2024-04-23_10_10_01_events.csv,588.0333333333333,2024-04-23 10:19:49.033333
Entry,35,17655,6,0.7515877894700956,2024-04-23 10:19:49.500000,natalies,2024-04-23,10:10:01,2024-04-23 10:10:01,10,natalies_2024-04-23_10_10_01,natalies_2024-04-23_10_10_01_events.csv,588.5,2024-04-23 10:19:49.500000
Exit,35,17821,7,0.8406570132122184,2024-04-23 10:19:55.033333,natalies,2024-04-23,10:10:01,2024-04-23 10:10:01,10,natalies_2024-04-23_10_10_01,natalies_2024-04-23_10_10_01_events.csv,594.0333333333333,2024-04-23 10:19:55.033333
Entry,35,17836,7,0.7515877894700956,2024-04-23 10:19:55.533333,natalies,2024-04-23,10:10:01,2024-04-23 10:10:01,10,natalies_2024-04-23_10_10_01,natalies_2024-04-23_10_10_01_events.csv,594.5333333333333,2024-04-23 10:19:55.533333
Exit,35,350,2,0.819435000374931,2024-04-23 10:20:11.666667,natalies,2024-04-23,10:20:00,2024-04-23 10:20:00,10,natalies_2024-04-23_10_20_00,natalies_2024-04-23_10_20_00_events.csv,11.666666666666666,2024-04-23 10:20:11.666667
Entry,35,365,2,0.7302229194899512,2024-04-23 10:20:12.166667,natalies,2024-04-23,10:20:00,2024-04-23 10:20:00,10,natalies_2024-04-23_10_20_00,natalies_2024-04-23_10_20_00_events.csv,12.166666666666666,2024-04-23 10:20:12.166667
Exit,35,900,4,0.6183806371003372,2024-04-23 10:20:30.000000,natalies,2024-04-23,10:20:00,2024-04-23 10:20:00,10,natalies_2024-04-23_10_20_00,natalies_2024-04-23_10_20_00_events.csv,30.0,2024-04-23 10:20:30.000000
Exit,60,1310,5,0.6416963018254,2024-04-23 10:20:43.666667,natalies,2024-04-23,10:20:00,2024-04-23 10:20:00,10,natalies_2024-04-23_10_20_00,natalies_2024-04-23_10_20_00_events.csv,43.666666666666664,2024-04-23 10:20:43.666667
Exit,60,1444,6,0.6313160949850188,2024-04-23 10:20:48.133333,natalies,2024-04-23,10:20:00,2024-04-23 10:20:00,10,natalies_2024-04-23_10_20_00,natalies_2024-04-23_10_20_00_events.csv,48.13333333333333,2024-04-23 10:20:48.133333
Exit,35,1514,8,0.819435000374931,2024-04-23 10:20:50.466667,natalies,2024-04-23,10:20:00,2024-04-23 10:20:00,10,natalies_2024-04-23_10_20_00,natalies_2024-04-23_10_20_00_events.csv,50.46666666666667,2024-04-23 10:20:50.466667
Entry,35,1529,8,0.7302229194899512,2024-04-23 10:20:50.966667,natalies,2024-04-23,10:20:00,2024-04-23 10:20:00,10,natalies_2024-04-23_10_20_00,natalies_2024-04-23_10_20_00_events.csv,50.96666666666667,2024-04-23 10:20:50.966667
Exit,60,1741,9,0.6995671238137823,2024-04-23 10:20:58.033333,natalies,2024-04-23,10:20:00,2024-04-23 10:20:00,10,natalies_2024-04-23_10_20_00,natalies_2024-04-23_10_20_00_events.csv,58.03333333333333,2024-04-23 10:20:58.033333
Entry,60,2167,9,0.6353772847595845,2024-04-23 10:21:12.233333,natalies,2024-04-23,10:20:00,2024-04-23 10:20:00,10,natalies_2024-04-23_10_20_00,natalies_2024-04-23_10_20_00_events.csv,72.23333333333333,2024-04-23 10:21:12.233333
Exit,60,2654,10,0.6907147036151297,2024-04-23 10:21:28.466667,natalies,2024-04-23,10:20:00,2024-04-23 10:20:00,10,natalies_2024-04-23_10_20_00,natalies_2024-04-23_10_20_00_events.csv,88.46666666666667,2024-04-23 10:21:28.466667
Entry,60,2714,10,0.6168301542533183,2024-04-23 10:21:30.466667,natalies,2024-04-23,10:20:00,2024-04-23 10:20:00,10,natalies_2024-04-23_10_20_00,natalies_2024-04-23_10_20_00_events.csv,90.46666666666667,2024-04-23 10:21:30.466667
Exit,60,2865,11,0.677115511715286,2024-04-23 10:21:35.500000,natalies,2024-04-23,10:20:00,2024-04-23 10:20:00,10,natalies_2024-04-23_10_20_00,natalies_2024-04-23_10_20_00_events.csv,95.5,2024-04-23 10:21:35.500000
Exit,23,3525,39,0.62735529743099,2024-04-23 10:21:57.500000,natalies,2024-04-23,10:20:00,2024-04-23 10:20:00,10,natalies_2024-04-23_10_20_00,natalies_2024-04-23_10_20_00_events.csv,117.5,2024-04-23 10:21:57.500000
Exit,19,10,1,0.7041247726042098,2024-04-23 10:30:00.333333,natalies,2024-04-23,10:30:00,2024-04-23 10:30:00,10,natalies_2024-04-23_10_30_00,natalies_2024-04-23_10_30_00_events.csv,0.3333333333333333,2024-04-23 10:30:00.333333
Exit,60,5838,14,0.6243135845700186,2024-04-23 11:53:14.600000,natalies,2024-04-23,11:50:00,2024-04-23 11:50:00,11,natalies_2024-04-23_11_50_00,natalies_2024-04-23_11_50_00_events.csv,194.6,2024-04-23 11:53:14.600000
Exit,60,7391,50,0.6314561451437208,2024-04-23 11:54:06.366667,natalies,2024-04-23,11:50:00,2024-04-23 11:50:00,11,natalies_2024-04-23_11_50_00,natalies_2024-04-23_11_50_00_events.csv,246.36666666666667,2024-04-23 11:54:06.366667
Exit,60,7391,51,0.6314561451437208,2024-04-23 11:54:06.366667,natalies,2024-04-23,11:50:00,2024-04-23 11:50:00,11,natalies_2024-04-23_11_50_00,natalies_2024-04-23_11_50_00_events.csv,246.36666666666667,2024-04-23 11:54:06.366667
